credit.policy,purpose,int.rate, installment , log.annual.inc ,dti,fico, days.with.cr.line , revol.bal ,revol.util,inq.last.6mths,delinq.2yrs,pub.rec,not.fully.paid
1,debt_consolidation,12%, 829 , 11.4 ,19.48,737," 5,640 "," 28,854 ",52.1,0,0,0,0
1,credit_card,11%, 228 , 11.1 ,14.29,707," 2,760 "," 33,623 ",76.7,0,0,0,0
1,debt_consolidation,14%, 367 , 10.4 ,11.63,682," 4,710 "," 3,511 ",25.6,1,0,0,0
1,debt_consolidation,10%, 162 , 11.4 ,8.1,712," 2,700 "," 33,667 ",73.2,1,0,0,0
1,credit_card,14%, 103 , 11.3 ,14.97,667," 4,066 "," 4,740 ",39.5,0,1,0,0
1,credit_card,8%, 125 , 11.9 ,16.98,727," 6,120 "," 50,807 ",51,0,0,0,0
1,debt_consolidation,15%, 194 , 10.7 ,4,667," 3,180 "," 3,839 ",76.8,0,0,1,1
1,all_other,11%, 131 , 11.0 ,11.08,722," 5,116 "," 24,220 ",68.6,0,0,0,1
1,home_improvement,11%, 87 , 11.4 ,17.25,682," 3,989 "," 69,909 ",51.1,1,0,0,0
1,debt_consolidation,12%, 84 , 10.2 ,10,707," 2,730 "," 5,630 ",23,1,0,0,0
1,debt_consolidation,13%, 360 , 10.4 ,22.09,677," 6,713 "," 13,846 ",71,2,0,1,0
1,debt_consolidation,13%, 254 , 11.8 ,9.16,662," 4,298 "," 5,122 ",18.2,2,1,0,0
1,debt_consolidation,9%, 316 , 10.9 ,15.49,767," 6,520 "," 6,068 ",16.7,0,0,0,0
1,small_business,7%, 93 , 11.5 ,6.5,747," 4,384 "," 3,021 ",4.8,0,1,0,0
1,debt_consolidation,9%, 210 , 9.5 ,9.73,727," 1,560 "," 6,282 ",44.6,0,0,0,0
1,major_purchase,11%, 328 , 10.7 ,13.04,702," 8,160 "," 5,394 ",53.4,1,0,0,0
1,all_other,13%, 78 , 10.5 ,2.26,672," 3,896 "," 2,211 ",88.4,0,0,0,0
1,credit_card,9%, 477 , 11.6 ,7.07,797," 6,511 "," 7,586 ",52.7,1,0,0,0
1,debt_consolidation,10%, 584 , 10.5 ,3.8,712," 2,760 "," 8,311 ",59.8,0,0,0,0
1,major_purchase,15%, 174 , 11.0 ,2.74,667," 1,127 ", 591 ,84.4,3,0,0,0
1,all_other,8%, 188 , 11.2 ,16.08,772," 4,889 "," 29,797 ",23.2,1,0,0,0
1,all_other,9%, 474 , 10.8 ,2.59,797," 11,951 "," 5,656 ",27.6,0,0,0,0
1,credit_card,14%, 340 , 11.5 ,7.94,662," 1,940 "," 21,162 ",57.7,0,0,0,0
1,credit_card,8%, 485 , 11.7 ,7.05,782," 5,640 "," 16,931 ",34.6,1,0,0,0
1,debt_consolidation,12%, 320 , 11.3 ,8.8,672," 3,761 "," 4,822 ",58.1,0,0,1,0
1,all_other,9%, 159 , 12.4 ,10,712," 1,554 "," 14,354 ",36.6,0,2,0,0
1,all_other,7%, 155 , 11.1 ,0.28,802," 4,650 "," 1,576 ",5.7,1,0,0,0
1,debt_consolidation,14%, 255 , 10.0 ,14.29,662," 1,319 "," 4,175 ",51.5,0,1,0,0
1,all_other,7%, 155 , 12.2 ,0.28,772," 4,517 "," 3,164 ",13.7,0,0,0,0
1,all_other,7%, 155 , 12.2 ,3.72,812," 6,779 "," 85,607 ",0.7,0,0,0,0
1,debt_consolidation,8%, 157 , 11.5 ,2.3,742," 3,149 "," 9,698 ",19.4,0,0,0,0
1,credit_card,10%, 275 , 9.8 ,6.4,692," 7,470 "," 8,847 ",26.9,1,1,0,0
1,home_improvement,7%, 155 , 11.9 ,0,777," 7,129 "," 6,053 ",19.5,0,0,0,0
1,home_improvement,8%, 78 , 11.6 ,11.33,762," 6,060 "," 7,274 ",13.1,0,0,0,0
1,credit_card,9%, 158 , 11.2 ,15.55,757," 4,770 "," 66,033 ",23,0,0,0,0
1,all_other,7%, 155 , 11.5 ,3.83,772," 2,535 "," 3,660 ",6.8,0,0,0,0
1,credit_card,7%, 155 , 11.4 ,0.31,787," 3,540 ", 216 ,0.6,0,0,0,0
1,credit_card,11%, 164 , 11.3 ,1.21,672," 3,990 "," 27,185 ",16.1,3,0,1,0
1,debt_consolidation,10%, 161 , 10.8 ,8.03,707," 4,320 "," 28,329 ",48.6,1,0,0,0
1,home_improvement,9%, 160 , 12.1 ,11.93,717," 4,499 "," 60,568 ",39.2,1,0,0,0
1,home_improvement,8%, 157 , 12.1 ,5.55,742," 4,019 "," 40,934 ",26.3,0,0,0,0
1,debt_consolidation,7%, 155 , 11.7 ,2.29,777," 3,540 "," 8,379 ",16.9,0,0,0,0
1,small_business,9%, 95 , 10.1 ,14.54,752," 2,460 "," 3,660 ",7.8,1,0,0,0
1,home_improvement,10%, 97 , 12.2 ,0,677," 3,780 ", -   ,0,0,1,0,0
1,credit_card,11%, 164 , 10.3 ,18.64,702," 5,190 "," 15,840 ",47.1,0,0,0,0
1,credit_card,8%, 167 , 11.2 ,14.37,797," 5,611 "," 6,844 ",14.4,0,0,0,0
1,educational,8%, 169 , 9.0 ,3,762," 6,660 "," 1,321 ",16.5,0,0,0,0
1,all_other,8%, 161 , 10.4 ,14.78,772," 4,379 "," 4,737 ",23.9,0,0,0,0
1,credit_card,9%, 159 , 11.2 ,9.96,722," 3,090 "," 23,489 ",37.6,0,0,0,0
1,debt_consolidation,7%, 179 , 11.7 ,0.27,792," 7,489 "," 2,817 ",10.2,0,0,0,0
1,credit_card,7%, 155 , 10.7 ,1.12,782," 5,807 "," 1,783 ",0,1,0,0,0
1,small_business,10%, 324 , 10.2 ,10.7,712," 1,379 "," 3,534 ",54.4,0,0,0,0
1,small_business,11%, 814 , 10.8 ,4.05,762," 2,730 "," 2,422 ",23.3,0,0,0,0
1,educational,10%, 113 , 9.5 ,16.44,712," 1,650 "," 2,864 ",41.1,1,0,0,0
1,debt_consolidation,16%, 95 , 10.9 ,12.57,627," 1,409 "," 3,075 ",92.3,1,0,0,0
1,small_business,11%, 399 , 11.0 ,17.12,747," 14,009 "," 17,214 ",8.1,2,1,0,0
1,credit_card,12%, 40 , 9.9 ,2.04,662," 1,139 "," 1,153 ",75.8,2,0,0,0
1,credit_card,13%, 678 , 11.9 ,10.15,682," 4,210 "," 41,674 ",74.1,0,0,0,1
1,credit_card,12%, 401 , 11.2 ,15,682," 4,479 "," 43,039 ",93.4,3,0,0,0
1,all_other,10%, 205 , 11.0 ,7.72,712," 2,294 "," 3,362 ",69.3,0,0,0,0
1,debt_consolidation,12%, 398 , 11.1 ,7.14,682," 8,730 "," 11,868 ",71.9,0,2,0,0
